Component 1,Component 2,Method,Parameter,group
6.340442180633545,2.659332513809204,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
7.189764499664307,2.604362726211548,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
7.209255695343018,2.5573105812072754,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
6.773458480834961,3.156151056289673,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
11.990466117858887,10.613192558288574,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
18.51178741455078,-2.8430914878845215,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
4.055307388305664,-0.07137744128704071,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
4.155734062194824,1.1233397722244263,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
4.1422929763793945,1.1254783868789673,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-3.5666391849517822,17.730876922607422,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-9.41959285736084,16.195663452148438,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-1.4881678819656372,11.79841136932373,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-17.298282623291016,5.581485271453857,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-9.479976654052734,15.941160202026367,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
5.670742034912109,3.8596136569976807,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
7.953667163848877,3.8658220767974854,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
5.22622013092041,-0.09574296325445175,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
4.419953346252441,0.13090570271015167,UMAP,n_components: 2; n_neighbors: 15,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
